Model,Config,Feature,Category,Mean_abs_SHAP,Rank_Overall,Rank_Cat,Share_PCT
SVR,Full,temp_mean_celsius,Climate,0.01126292786012787,30,7,0.5237782947953282
SVR,Full,surface_soil_wetness_index,Climate,0.010624700749276947,31,8,0.49409777903911256
SVR,Full,wind_speed_10m_ms,Climate,0.010135241227920545,33,9,0.47133564501400105
SVR,Full,rainfall_rate_mm_per_day_anom,Climate,0.006534046175644855,38,10,0.3038634009287122
SVR,Full,relative_humidity_2m_pct,Climate,0.006243841087726597,39,11,0.290367520640882
SVR,Full,rainfall_rate_mm_per_day,Climate,0.004299249572269414,40,12,0.1999350113778721
SVR,Full,rainfall_total_mm,Climate,0.0017810355351753713,42,13,0.08282639888749584
SVR,Full,rainfall_total_mm_anom,Climate,0.0016216978614014778,43,14,0.0754164592960869
SVR,Full,wpi_primary_food_articles_yoy,Commodity,0.48119694182014855,1,1,22.377885819506858
SVR,Full,wpi_mustard_oil_yoy,Commodity,0.22344670903454028,2,2,10.39130656692412
SVR,Full,wpi_manufactured_food_yoy,Commodity,0.16365936291475436,3,3,7.610918146625384
SVR,Full,wpi_potato_yoy,Commodity,0.1299412601749842,4,4,6.042870248592413
SVR,Full,wpi_onion_yoy,Commodity,0.1031425876723787,6,5,4.796607894743527
SVR,Full,wpi_arhar_tur_yoy,Commodity,0.09627618526729327,7,6,4.4772883902791385
SVR,Full,crude_oil_brent_usd_yoy,Commodity,0.06529287557544841,9,7,3.0364210315383873
SVR,Full,wpi_garlic_yoy,Commodity,0.05713627150746301,10,8,2.6571011758928296
SVR,Full,palm_oil_usd_yoy,Commodity,0.05240054739201608,11,9,2.4368680773047555
SVR,Full,wpi_milk_yoy,Commodity,0.05187007468794808,13,10,2.412198640385442
SVR,Full,wpi_brinjal_yoy,Commodity,0.04919627289454949,14,11,2.287854476828746
SVR,Full,wpi_rice_yoy,Commodity,0.038451806962785946,15,12,1.788187062270547
SVR,Full,wpi_egg_yoy,Commodity,0.026683157059242967,18,13,1.2408903508760938
SVR,Full,wpi_gram_chana_yoy,Commodity,0.026028503054897595,19,14,1.210445908513035
SVR,Full,wpi_moong_yoy,Commodity,0.024961707880552096,20,15,1.1608349934602393
SVR,Full,wpi_cabbage_yoy,Commodity,0.024521539638685943,22,16,1.1403651321585535
SVR,Full,wpi_groundnut_oil_yoy,Commodity,0.01870976647805451,23,17,0.8700907706766512
SVR,Full,wpi_tomato_yoy,Commodity,0.016198392407255836,25,18,0.7533002482892338
SVR,Full,wpi_maize_yoy,Commodity,0.013651127248878816,28,19,0.634840624147495
SVR,Full,global_fertilizer_index_yoy,Commodity,0.012347707501702665,29,20,0.5742255708454727
SVR,Full,wpi_sugar_yoy,Commodity,0.010229100047797753,32,21,0.4757005147208223
SVR,Full,wpi_wheat_yoy,Commodity,0.008236286472409338,34,22,0.383025456394552
SVR,Full,wpi_urad_yoy,Commodity,0.008207648007413706,35,23,0.3816936351712207
SVR,Full,wpi_soybean_oil_yoy,Commodity,0.007933564912504572,36,24,0.3689475022059242
SVR,Full,wpi_masur_yoy,Commodity,0.007117428793512719,37,25,0.33099339382174986
SVR,Full,m3_money_supply_yoy,Macroeconomic,0.114823952763307,5,1,5.3398454582076536
SVR,Full,iip_general_yoy,Macroeconomic,0.05235138319499071,12,2,2.4345817145043602
SVR,Full,USA_CPI,Macroeconomic,0.028114550269451696,17,3,1.3074567627483464
SVR,Full,rbi_repo_rate_yoy_diff,Macroeconomic,0.0024241393390631986,41,4,0.11273370344985775
SVR,Macro_only,m3_money_supply_yoy,Macroeconomic,0.09676715128894604,1,1,49.88017954113813
SVR,Macro_only,iip_general_yoy,Macroeconomic,0.06541627967310507,2,2,33.71987013717664
SVR,Macro_only,USA_CPI,Macroeconomic,0.024967701210801208,3,3,12.870001881170607
